label,text
negative,@united flight ua90 is taking off now after 1750 was delayed over 4 hrs 30 passengers to miss their flight to tel aviv
negative,@united 30 of us on flight 1750 trying to get to tel aviv that is trying to take off right now with out us so cruel. Next flight is 350pm
neutral,@united I see several economy plus can you put us in those. We don't have to be seated together
positive,@united What a really GREAT &amp; FLATTERING story about you! You should be very proud :) http://t.co/7br5t5QCXk (via @ParachuteGuy)
negative,@united Airline SUCKS! Customer Service SUCKS! NO courtesy! Incompetent - passengers do NOT matter- Bet the CEO is just doing fine though!
negative,@united do you expect to Cancelled Flight flights out of @DENAirport tomorrow morning given the storm?
negative,@United also ran out of water and refused service #costumerservice #legit #jk
negative,@United Can you increase the legroom? : How airlines compare http://t.co/diUfep8n2q via @CNNMoney
negative,"@united on a 4 seg flt yvr to zurich, why would you credit all miles and but only 2 segs on full fare?"
neutral,@united I see two flights with two seats in the morning can we get on those
negative,@united 6377 and now they sent our green tagged bags to the luggage carousel. It's been one mess up after another. Bad day @united
negative,@united the drunk guy you threw out of flight UA936 4hrs ago is better off than the rest of us held up for 5hrs in the plane without food.
negative,"@united sitting in Denver airport waiting for a plane to be refueled. For an hour and a half! Hurry the fuck up United, you fucking retards"
neutral,@united we will be at the airport first thing in the morning
negative,@united I'm rebooked on a flight tomorrow even though I had 1st class seat orig I have a lousy coach seat
neutral,@united Doesn't have to be same flight 2 and 2 will work also
negative,@united who compensates is for the delays caused by the fact that you don't have enough flight attendants?? http://t.co/96apr35qan
negative,@united we've been seating for 5hrs inside flight UA936 at #IAD delayed. We've only been offered water &amp; cookies in business class. #failed
negative,@united please get me off this plane #UA57
neutral,@united yes. On a nonstop to Memphis tomorrow morning. With the snow coming in I got my fingers crossed it will go.
neutral,@united traveling with 3 young kids!! Chose our original flights for a reason.
negative,@united our 1 layover itinerary was swapped for a 3 layover itinerary - really?!?
negative,"@united your app says flight UA936 to #ZRH departed 2:45hrs Late Flight, but 5 hours Late Flightr we are still seating inside the plane in #IAD.  #failed"
negative,@united not completely.  Our flight was changed in July but we never received notification.
negative,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw
positive,@united so is that two seats avail so far for us.
negative,@united has once again earned a place as the worst airline in the business
neutral,@united is flight number 1142 Denver to Las Vegas 1125 on Sunday feb 22 Cancelled Flighted ?
negative,"@united when I read it say ' in some cases' can you please define this for me, when for example would it not be the case?"
negative,"@united Not until tomorrow night. And the hotel voucher had higher rate than travelocity Not loving cost, but hard working staff"
negative,"@united flight UA1459 sitting at newark waiting for a gate, seriously??? #threehoursLate Flight"
negative,@united why don't you ever print my known #traveler number on my ticket? Because of this I never get to use the #TSA prescreen I paid for
negative,"@united boarding was decent, 3 useless agents that don't speak English (after 2.5hrs of hold) 6hrs of mech delay not so much"
neutral,"@united After all I have been through on this trip, can you get me on another airline home?"
negative,@united flight was Cancelled Flighted after the last opportunity to rebook us on other flights this evening passed.
negative,@united boarding a #plane would be much faster if you boarded back to front instead of front to back #MakesSense #efficiency #travel #flying
negative,@united had been suffering immensely ever since this merge .. Hopefully I'll never have to fly @united ever again ..
negative,@united I'd really like to get off of this plane now.
negative,@united cabin pressurization issues are pretty serious. Flight 1109 landed in Washington because of it. My head is pounding.
negative,@united Sandra at ur international checkin counter was rude and offensive.  She commented she didn't care if I complained cuz she had 25yrs
negative,@united My contact stuff is in the bag and I'm legally blind. This is so messed up.
negative,@united Did I mention that I was ON THE PLANE so is my luggage. My luggage that I'm not going to have for how many days.
negative,@united Tell me that you're at least going to cover a room and get me out of here.
negative,@united OMG!!! you just bumped me off the last flight. Can this get any worse.
negative,@united Which just speaks to basically the worst designed web system ever.
negative,@united please fire the captain of flight 6232 today. He single handedly ruined every passengers day by being a piece of shit. #unitedsucks
neutral,@united U blow
negative,"@United - flight Cancelled Flightled. 4 hrs at airport to book a new one for $95. Just got two invoices for the flight, each for approx $300. Really?!"
negative,.@united Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.
neutral,@united what's the best way to get your tickets? Print off at home or go to check in desk?
negative,@united all 4 of us are on standby in Houston tomorrow for flights to Calgary. If you could get us on one or two of those that would help
negative,@united you're terrible.
negative,@united it was eventually explained that weather conditions too extreme to get luggage off planes. Will be sent on. But I won't be for days!
negative,"@united EWR TO MCO made unplanned landing because of pressurization failure. Worst pain I've EVER felt, I thought I was going to pass out"
negative,@united it's been over 3 hours...at what point do you let people off of the plane? @FoxNews @CNN @msnbc
negative,@united trying to get a customer service agent.  Just landed in SFO.  Can't fly with 3 layovers with 3 kids!!
neutral,@united why are there no early morning flights from HNL to anywhere in the continental US? Example- Monday 4/20. Need flight to PHL
negative,@united nope I gave up - maybe they'll deliver it
positive,@united Thanks for the upgrade- please try to get my company to approve more business class travel.
negative,@united more and more delays! No CS help at all! No notifications!
negative,@united and waiting
negative,@united the incompetence is truly stunning at this point. 4 hours on a plane for a 1.75 hour nonstop flight.
negative,"@united 1st u delay my flight for mechanical failure,then 2 hrs on the runway, &amp; 13 hrs Late Flightr I'm still here with a lost bag &amp; no resolution"
negative,@united is the worst
negative,"@united...lies lies lies....still sitting at the gate, have not moved an inch http://t.co/LulGnwEfFH"
neutral,"@united I have requested upgrade for EWR BOM flight, end of May. Miles + copay. When will i know if I am upgraded?"
negative,@united &amp; finally he was told he couldnt use the front of plane restrm (he was row7) though myself/others in rows behind him used w/no issue
negative,"@united instead of be told when we board, we have to wait for the emails telling us about the delays."
negative,"@united unfortunately, they didn't. I asked the staff if they could help. they said we should ask ppl in our row to switch, but no one would"
neutral,@united please update what is going to happen to passengers now that flt ua14 has been Cancelled Flightled
negative,@united I sent a PM over two weeks ago and have heard nothing!  #horribleservice #unitedsucks
negative,"@united Well, to the degree that he could... Just to know, after this experience I'm Cancelled Flighting my miles card. Thank god for @Delta"
neutral,@united could really use your help getting our bags at IAD. We're headed to YOW but now going to YXU
neutral,@united It appears there are six flights to Calgary tomorrow is this correct?
negative,@united And yet we still haven't left yet and I can't watch my pre-paid DirectTV. #firstworldproblems
neutral,@united is there another airport closer to Calgary we can fly out of tomorrow.
neutral,@united Yes. About an hour after landing.
negative,@united just texted me to say flight is delayed due to air traffic control. BS! They pulled the plane in Late Flight #lies
negative,@united 6 minutes to boarding at b12 in Ord. No sign of gate agent. A little help?
neutral,@united On flight 1220 right now...
neutral,@united Can you help me get a flight out tonight to Houston?Just don't want to be stuck here till Monday with all this bad weather moving in
negative,@united website says my flight is on time. It leaves in 15 min and nobody has boarded yet. #pathetic #needtobehonest
negative,@united From the air: Another missed cnxn 2day. ATC went on strike in Belize this AM. Now family &amp; I miss cnxn in EWR. Please see my DMs.
negative,@united we are the airline that has Cancelled Flightled flights TOMORROW to the NYC area
neutral,@united hoping to get out earlier than 2/23 (only phone option) or assistance with hotel.
negative,@united I was on UA3782 and it was Cancelled Flightled. I'm waiting at customer service.
neutral,@united I was on UA1069 today and left my sunglasses in seat 26F. Please help me get them back! #UnitedAirlines
negative,@united Flight has been delayed for another hour so only have 24 mins to transit at LAX... Extremely unlikely I will make it!
negative,@united 4595. We are now going back to the gate b/c of something overheating after sitting out here for 3+ hours.Love United but this stinks
negative,@united congratulations united. Fail again. Sky at a gate with a plane full of people waiting on 2. Weather gets worse now we can't leave.
negative,"@united thank you for leaving my bag in houston! despite what your system says, i was definitely on the flight!"
negative,Reply to @united - Doesn't do any good to check outlets preflight when moved to different equipment after boarding due to malfunction.
negative,@united 15-hr flight w/broken #Dreamliner media system. Witness #mental #breakdown as we bounce off walls. Remind me why I'm 1K.
negative,@united I was rebooked thru SFO but arrive 9 hours Late Flight and miss activities. I asked to fly today with stop over. Was told I'd have to pay.
negative,@united never again.
negative,@united fire yr rep who refused to put me on a flight that I had a boarding pass and seat on. Full explanation and her name in complaint.
positive,@united that's great! pls let me know when u start!
neutral,@united @ehsanisMpowered lmfao
negative,"@united God damn fucking crew won't be here till 6:40, so you've known for over an hour and a half the flight time was bullshit."
negative,@united you really do have a culture problem. Everyone I tried to work with blamed someone else or told me how they're short staffed
negative,@united sucks.
negative,@united I can understand that but to not have another plane available when there is a full day till departure is unacceptable. Phoenix?
negative,@united Flight Cancelled Flightled to BDL and stranded @Dulles_Airport. Waiting almost 2hrs at customer service. Shout out to diligent agents.
neutral,@united where's the crew for ua748?
positive,@united thanks ... not sure arranged move to the earlier flight but I'm at the gate with a seat assignment.  Super nice agent at gate C4 ORD
negative,@united No customer service rep could confirm where my bag was &amp; each gave me different info. Ruined 2 events I had today. #disappointed
negative,@united We've let you know how to help the millions of customers you've treated like garbage. It's no coincidence ur ranked WORST airline.
negative,"@united yes, after landing at 930pm last night. Spoke to 10 baggage claim customer service reps. Finally spoke to one amazing ticket agent."
negative,@united Charging $6500 for biz flight to UK = somewhat egregious. Charging $3 on top for a Sam Adams draft at the United Club is usurious.
positive,@united I see. Thanks for explaining.
negative,@united Flight:UA1750 is basically a prison on the runway @ SFO 6delays 4hrs of sitting no water no answers. reminded y I hate this airline
neutral,"@united hey, I missed my outbound flight - can I still use my return ticket?"
negative,@united says @USAirways  is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im  sorry. I want my clothes!!
negative,@united @USAirways @AmericanAir @americanone one of you has my bag! Claim 4016688561 and i want it in MGA!!!! Now!!!
negative,@united you have failed so uncontrollably today that it's beyond repair. I'm beyond livid with your absolute disregard to operations.
neutral,@united The Opal Dragon book The Dragon (ALI) has woven his murdering ways from the Philippines to Australia http://t.co/N2fvElcYgz
negative,@united I keep getting kicked to an error message when trying to purchase a flight on http://t.co/p3N2w8JfpS. Have tried at least 4x.
neutral,@united - any way to get a message to an international flight gate at EWR?      Road conditions are horrible trying to get to flight ...
neutral,@united Hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?
negative,@united rep wouldn't rebook. This is such a waste of time and poor communication
negative,@united my flight is Late Flight due to mechanical issues 3 of 4 flights in past 10 days!
negative,@united its 2015. How can my flight from a major city already be Cancelled Flightled 24 hours before departure due to weather??  Backup planes??
positive,@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!
negative,"@united 2/2 Instead, had to wait on plane from Ottawa that never came. Now I'm back home and have to try again tomorrow. Suitcase still lost"
negative,@united u Cancelled Flighted my flight from IAD to JAX. Was supposed to use plane from BNA but u used that plane for another destination instead. 1/2
negative,"@United appreciate the early arrival of UA1002, but any chance ORD will ever bring the bags out?"
neutral,@united - it is possible to make a ticket change via Twitter? Traveling internationally and can't make calls... Thanks in advance!
negative,@united just filled it out. Hope someone responds before we book our next trip.
neutral,@united give me an email address and I'll send the actually screen shot to you.
negative,@united u guys did it again changed ages and double booked seats so I had to I've even though I have platinum and the other person none
negative,@united sloppy stuff you don't see anymore - united has raised my expectations - this team was poor
negative,@united how long does it take to get a response from your customer service about a complaint done through email?
negative,"@united cabin crew were huge offenders, stood as a conversational cluster blocking exiting passengers"
negative,@united no wheelchairs
negative,"@united no commitment to a good turnaround, an operations mgr would have counted a dozen small issues with individual performance"
negative,@united the nightmare continues... http://t.co/TsvgbrL15f
positive,"@united as a million miler with UA, and flying almost every week I observe gate and flight crews committed to good operations"
negative,@united call wait times are over 20 minutes and airport wait times are longer
positive,"@united thanks, we did."
negative,"@united yes, I've been waiting for four hours and no one has been able to help me."
negative,@united we are sitting on the runway for 2 hours! It is ridiculous!!
negative,"@united what, you forgot to tell them the flight was coming... Thanks for allowing me to miss my connection"
negative,"@united Such as deodorant, shampoo, toothpaste. Seems like that would be limited to 70oz, correct?"
negative,@united Why was I forced to check my rollaboard on UA 715? Plenty of room in the overhead next to my seat. http://t.co/5xvNnmLTiW
negative,@united please don't take my membership away :(
negative,"@united. Please get me an economy plus seat. Awful day of 2 Cancelled Flighted flights, after lots of planning."
negative,"@united has me #stranded (weather NOT to blame). 1hr+ hold to speak to an agent that doesn't understand the concept of time zones, thanks!"
neutral,@united !!!!! YAAYY!!! YAY PROM!!!! http://t.co/DXicoyioxF
negative,@united please. You moved my seats and lost my upgrade. I had seat 20L. I have a ticket in my hand for 20L
positive,So appreciated! @united
positive,@united Hmmm...seems like this could be something to be changed to be more #flyerfriendly.
positive,@united No problem just follow me back so I can! Thank you!
negative,@united my husband is supposed to fly RDU to IAD then IAD to FRA leaving in 2 hours. You Cancelled Flighted his flight and there's a 1hr wait on phone
negative,@united is probably the least satisfactory airline I've ever been on. Never fails to disappoint.
negative,@united not sure why u call it customer care.  Should be customer we don't care
negative,@united who is in charge of making decisions over there? Cancelled Flightling flight UA1150 was unacceptable. I should be in #Belize right now.
negative,@united I fly @AmericanAir normally.  This doesn't happen to me with them.  I'll let your flyers provide their own feedback. Thank you.
positive,@united the upgrade to first class was a nice way to fix your earlier mistake. Thank you!
negative,@united how about plowing the snow at a gate before the plane arrives so we don't sit for 45 minutes after an 8 hr flight.... Fail
neutral,@united SATURDAY this morning Man dies from Ebola http://t.co/hXVVIS0VWw
negative,"@united ok so what is being done about my experience? My family had a terrible experience for $1,200. It's kind of like being robbed.Explain"
negative,@united great job losing one of my six bags on a direct flight.  Don't know how you manage to do it.
negative,@united the worst customer service in Denver.
negative,"@united ruined my day &amp; start trip SFO to GIG. both legs changed, lost my paid upgrade &amp; 200 1st class seat &amp; moved me from Econ + to Econ"
neutral,@united So what's allowed or what's not allowed to be carried in my checked baggage?
negative,@united now been on board with no movement for 25 min...wow this experience just keeps getting worse and worse
negative,@united have an employee at the gate 15min before boarding like u expect ur customers to. Be a competent company like ur rivals
negative,@united No wonder the cabin is filthy. #badservice
negative,"@united And then when we asked the stewardess to take the disinfectant wipe as trash she said, ""not with my hands!"" #badservice"
negative,@united I need #United to be a better airline!!
negative,@united flight was Cancelled Flightled due to mechanical issues but when I ask for cab fare they say it was weather and can't help me
positive,"@united Hi there, looks like my connection is delayed too so I'll make it. Thanks!"
negative,@united You really should clean the food and coffee stains off of the area around the seats when new passengers come aboard. Gross!
positive,@united cldnt be happier w the many plastic wing pins given to me on flight 494. I love them! Amazing staff! So nice http://t.co/CbV7f3KBKx
negative,@united help? Invest more in your planes and your people and less in stock buybacks and executive pay. Maybe then you would not disappoint.
negative,@united ROC flight Cancelled Flightled. Love my snowy drive home with no useful substitutes
negative,@united I hope not to see the same issue on my return flight tomorrow
negative,@united You shouldn't page o'head that it's best to call 1-800# - on hold 26+ mins
neutral,"@united we have developers flying down tmrw morn. w/45 min layover, there is an earlier flight to have 1.5hr layover, can move them up?"
neutral,@united Home is Calgary can you get us there without the added expense of accommodations and meals.
negative,@united thank you for your reply.  My frustration is that spending a upgrade just puts you on a wait  list.
negative,@united hello I am flying first class and am behind 20 people on zone 1!!!!!  Pls pass on to app dept - you should board 1st class first
positive,@united thank you for taking care of my mom and reFlight Booking Problems her flight in phl.
negative,"@united can't get anyone to deal with me in person. Cowardly customer service, I can't be looked in the eyes by anyone."
negative,"@united nope. Called, lost the seating preference I paid for, and here I still sit. We'll see what happens w/ my flight Late Flightr."
negative,@united stuck in DC trying to get to Denver. The engine shut down twice on us at the terminal. Got any available flights for me?
positive,"@united Ill check it out, appreciate the response, regardless."
neutral,@united nope.  no case id either time.
negative,@united yes 1427 Cancelled Flightled. Moved to 333. I'll figure out car rental changes and such.
negative,"@united troubling news, time to raise the bar on legroom! http://t.co/nmbHNGnMkI"
positive,@united 1632 was phenomenal frm gate (SEA) to gate (IAD)
positive,.@united Thanks. Hopefully this is easily resolved.
negative,@united terrible travel experience. Traveled 8000 miles roundtrip but two Cancelled Flightlations of short hops cost me two days
negative,@united why are you charging people to see the freaking flight map? https://t.co/AgPb45v8wt
negative,@United my flight from MCO has been delayed &amp; scheduled to arrive after my connection departs. What options do I have?
negative,@united is not a company that values it's customer &amp; after reading tweets to them I'm not the only one who feels that way #lostmybusiness
negative,"@united I was insulted, disrespected and met with incompetence at every turn how about a voucher for a domestic round trip"
negative,@united. DAY to IAD and CVG to IAD both Cancelled Flightled by United but all other airlines operating. Friend stuck and now miss intl flight. Help?
neutral,@united already DM you my concern. Pls check.
negative,@united well if you don't want your customers to be frustrated compensate them appropriately when you screw up royally!! #fakesincerity
positive,@united I will. Thanks.
negative,"@united employees are the angriest, angst-iest group of people anywhere (except for Tasha at check-in at IAH.) @dad_or_alive"
negative,@united But it's doubtful he'll fly United again and he will be traveling a lot as a sales manager covering all of North America
neutral,@united I will. I have to get to Bangkok. I have just 17 days to spend with my husband in his mid deployment leave. Like to get there asap
negative,@united Just let the employees know that good service and a kind attitude towards customers is vital in this kind of business. Thanks
neutral,@united and a husband.
negative,@united need assistance. Line is out the door and travelling with 3 kids.
negative,@united Friend at O'Hare and can't get on flight bc they say no proof he bought 1st class tkt. He has boarding pass.
positive,"@united gave me a smile today, with a Zero Award... ;-) Computers have some sense of humour :-) http://t.co/JNqNbk7HuT"
negative,"@United Right now at Tropic Air in San Pedro, #Belize. Line out the door. All due to elected &amp; appointed hacks http://t.co/kKEDjNRTWo”"
neutral,@united I take it as a compliment that I was mistaken several times as a member of your staff on my flight... time to remove my scarf :)
negative,@united can anyone assure me that the aircraft coming to Denver had left it's previous destination? Flight 3618
negative,"@united we are delayed in San Pedro, Belize. We are scheduled to fly out at 3pm from Belize City to Houston. Will you wait please?"
negative,@united Hello United. You should take care of your call center in Mexico City Office. Terrible attitude from the lady who was helping me.
negative,"@united Great!  I'm guessing you were Late Flight to open, service is horrible, you're overcharging, and don't care that everyone is miserable."
negative,@united What a really GREAT &amp; FLATTERING story about you! You should be very proud :) http://t.co/oKtUkjY92O (via @ParachuteGuy)
neutral,@united I was able to get a seat on earlier flight sfo to ind.  Can you add me to 6pm ord to IND?
negative,@united I interviewed yesterday as a flight attendant I was the last person the recruiter said they lost my file n came back to interview me
negative,"@united remember in business, a pleasant experience, means you will tell a friend. A bad experience means you will tell everyone you see"
negative,@united let me assure you my travel time is 4h2m not 5h2m #timezones #accuratetraveltimes #3rdtimethishashappened http://t.co/e0C9bI09cf
negative,@united U BUMS HOW DO U LOSE THE BIGGEST BAG ON THE FLIGHT
negative,@united is to airlines as @comcast @XFINITY is to cable/internet
negative,@united customers ✅. Customer service ❌ http://t.co/qP6Aw3nLIP
negative,"Meanwhile, they fucked my flight. @united: The festivities are already in full swing at the United Fairway Club, overlooking the 17th hole.."
negative,"@united in the process of purchasing ticket, when prices changed. unbelievable. #RipOffs #PriceDiscrimination"
negative,"@united although, I am stranded in Chicago O'Hare for another 8 hours. Any chance your cracker-jack service team could provide a meal?"
positive,"@united All flights Cancelled Flighted :( Trip refunded without difficulty, staff extremely helpful, no complaints! Way to handle bad weather!"
negative,@united 14 hours after landing in #ATL &amp; I still do not have my bags...which means no clothes or makeup!!! #UnitedAirlines #nothappy
negative,@united #bullying in the #workforce not ok. Get gate agents 2 work as a team. 2 against 1 is never cool. #Delays #flights #UnitedAirlines
negative,"@united really fucked my day up Hilo to LAX 2hr30min delay because of software? missed connection, getting home 8hrs Late Flightr no upgrade nothin"
negative,@united send someone to the customer service counter in person. DIA concourse B across from gate B36a.
negative,@united I'm not sure why I expected anyone to be here http://t.co/bnFlHPXtmw
negative,@united this is not true. Gate agents 100% caused this. And we're not helpful. Thanks for making me miss connection!! http://t.co/xAIzW2isml
negative,@united DEN-PHX flight tomorrow Cancelled Flighted. Asked for overnight 2nite in LAX/SNA. Told not without paying. That's wrong
neutral,@united can you please follow for a DM?
positive,@united thank you for the help!!
negative,@united Why do I still not have my bags? They arrived @10AM &amp;website says they're still at the airport..2 1/2 hours Late Flightr???!! #nothappy
negative,@United had a maintenance issue. Stuck in Geneva with meal voucher that won't even cover a pLate Flight of spaghetti. Really.
negative,"@united no announcement re extra baggage, ""find an empty bin"" down to aisle 20 back up with baggage to my seat row 7. YOUR agents argueing"
negative,@united bags arrived - I sure miss the customer focused days when I used to fly @ContinentalAir1 Here's hoping @united wakes up
negative,@united once again your lack of customer service astounds me! You are the worst airline in the history of airlines! Train your staff!
negative,"@united besides landing the plane, overall customer service experience has been poor. Late Flight and rude workers plus missing luggage"
neutral,@united I was just calling the Global Services help desk so via phone.
neutral,"@united on final. Pls don't let my connection leave!!!
Conf# NPBHD0 http://t.co/eWXwXiDTfX"
negative,"fuck you, @united and your shitty fucking information http://t.co/scQUjbvsTA"
positive,@united you're good. Thank you!
neutral,@united  no thanks
positive,"@united oh, the Wi-Fi router is on top of the fuselage! ;)"
negative,"@united on SFO-&gt;AUS UA343 2/17, IS9JX1; my seat appears to have had a mite problem. Dr recently confirmed over 50 bug bites were mites"
negative,"@United come on, reopen 1285 at ORD and clear your growing DC backlog"
negative,@united I'm strongly considering taking my business elsewhere. #UnitedAirlines
negative,"@united your website won't allow me to post the required document, i keep getting **were having technical difficulties**"
negative,"@united really needs to start upgrading their planes. No TVs &amp; then the ""inflight wifi"" is currently unavailable #UnitedAirlines"
negative,@united I am not digging the new mileage earning plan. I would earn about 1/3 of the miles I do now. Any changes to the award ticket prices?
negative,@united Was just hung up on by customer service after waiting 30 min on hold...guess that vacation's not happening? Website wasn't working.
negative,@united what's going on with the mileage plus accounts? Login through username and email have been down for at least three days.
negative,@united what incentive do I have to give you another chance?
neutral,@united my dad booked through orbitz and due to weather he can't make it to the airport. Can you help him?
negative,@united Finally I get the right response. United must check this issue. UA 1514 EWR to PUJ on Friday 02/20/15.
neutral,@united #787 to begin Newark-London Heathrow route on May 6 @PANYNJ @BoeingAirplanes @FroschTravel http://t.co/RdJ1MwFLg1
negative,@united lost bag in Huston we leave for a Bahamas cruise today from #nola and had to buy all new stuff. Customer service is non existent
negative,@united you get a 2nd chance today as I fly to A'dam. Let's see if you can redeem yourself after that last horrendous trip to the states.
positive,@united Very impressed so far. An app that's worth a damn and sms updates on my flight.
neutral,@united any last minute flight deals for your cute little #frequentflyer ??? :)))) my Friday flight was Cancelled Flightled!!
negative,@united airlines 1st &amp; only time I ever fly your airline! What a disgrace. @JimTrotter_NFL I should've listened to your tweet! #HORRIBLE
negative,"@united diverged to Burlington, Vermont. This sucks."
negative,@united officially has the most inefficient boarding procedure. There is no reason it should take 45 mins to board a plane!
negative,@united I sent my details to the customer care link you sent me almost a month ago and no response.
neutral,@united Hi have a question re future Flight Booking Problems. DUB-JAC 29/9 JAC-LAX 8/10 LAX-DUB 13/10. I'm *G. What is checked bag allowance for JAC-LAX?
negative,@united My flight was Cancelled Flighted and I'm needing some help reFlight Booking Problems.
negative,"@united I was, just very surprised it took over 15 mins. Never experienced anything like that on 1K number"
neutral,@united 757 N33103 taxies @bhx_official departing as UA26 to Newark Liberty Airport http://t.co/IALiCEH2FT
negative,@united I'm afraid not... I fly or service every week and I'm just unhappy..spend too much money to be unhappy
negative,"@united if you're going to Cancelled Flight flights today, do everyone a favor and get on it now. Don't stall the inevitable."
negative,@united your plane's been waiting at the Gate for two hours with all passengers onboard in their cramped seats. Yuck.
negative,@united his cell phone record needs to be checked to see who did conversed with. I trust the FAA can handle this better.
negative,@united 15.99 for wireless?  Was 6.99 epic #fail . #greedy #piggy you are the worst!
negative,@united Will never fly with you again! Terrible service!! Ruined our entire vacation!! #lostsuitcase #noreimbursement
negative,"@united web app won't let me upgrade seats, call center wait time is 20 minutes plus, just want to get more legroom but it's a pita"
negative,@united 132 characters does not cover my reasons I'm afraid
negative,"@united really, fill out a form about my flight experience? I sent an email to the 1K email address."
negative,"@united: ""Left gate 5 minutes early."" 
My thoughts: ""That doesn't count if you sit on the Tarmac for a half hour."" #comeonpeople"
positive,@united will the kudos to capt. Herman be relayed to his chief pilot or should I be emailing someone?
negative,@united on flight 1665 but it's not departing! Website says delayed due to operational difficulties-what does that mean?
negative,"@united do you teach your gate agents 2 lie? Or do they just learn on their own? There was overhead space for my bag,  didn't have to check"
neutral,@united First Officer of UA 1514 checking our 757 prior to departure from EWR yesterday while on his cell. Safety ??? http://t.co/1TFH2v0a7z
negative,@united i booked lh via ua.  However at gate they rebooked me to a Late Flightr lh flight.  Now that flight didnt earn pqd for me.  How do i get it
negative,@united coupled with self-service policies/cost cutting exacerbates the noted issues. (3/3)
negative,"@united I appreciate the immediate offer, but suspect it is more long-term issue/not simple fix. Also, ski/bootbag policy is awkward at best"
negative,"@united It isnt simple issue, generally how you set up check in/baggage policies at Logan and general unhelpfulness of employees in early AM"
negative,@United terrible illogical re-route after Cancelled Flightled connection. Then made me pay to check bag. Then lost bag. #ual
negative,@united I already follow you. One of you 800-number agents rebooked me. Went from a 777 to an a320. Ugh.
positive,@united good job at CLE .. TPA on schedule ... 4 to 5 inches of snow ! http://t.co/9tbsJquw41
negative,@united never fails to have delayed flights 😡
positive,@united is #ELP Friendly. #flyerfriendly #united #emb145 #elpaso http://t.co/9mEOzBO4xl
negative,@united it's been booked into first class with curbside delivery 24 hours from now. I'm counting on it! #TeamUSA
positive,@united provide a voucher for one of my customers and I will tweet about you all day long #earnedmybusiness
positive,@united stellar customer service. You have earned my business by your attention to detail.
positive,@united service by staff was great as usual. Cleanliness and smells a bit much. I'll be back. #satisfied traveler
neutral,@united now arrives LAX @ 8:03 am
negative,@united  No first class passenger should have to pay for inflight wifi.
negative,"@united my flight out of BGM Cancelled Flightled last night, I get a hotel voucher, but had to pay for a cab back. Worse cab experience ever"
negative,"@united  UA 1706 there is no way a plane ""loses its software"" I believe you decided to do an upgrade..."
negative,@united already missed connection... UA 495
negative,@united typically once you get the problem fixed - then the crew expires - and the delay turns into a Cancelled Flight...
negative,"@united UA 1706 delayed again - I get charged $600 if Late Flight by you - you say ""oh well"""
neutral,@united we are trying to go as far away from King'sCollegeLondon as possible for #charity today. Would you help us ? #jailbreak #RAG
negative,"@united Friend stuck in bus on runway at PEK with two small kids no customer service, no explanation, kids crying, awful service."
negative,@united no. U guys suck. I'll never fly with u again. And ur supervisors suck too.
neutral,@united @paigeworthy : page United values your tweet b/c it's so rare that they receive tweets complimenting their service...most are fake.
negative,@united yes there is when you keep getting the same robotic answer.
positive,@united  thank you for a great flight in gfc :) Cheers http://t.co/nvLnGLnMGN
negative,@united @danahajek : United's CEO has decided to outsource and or push out more and more of their skilled and loyal employees..lack of staff
negative,"@united I mean, your employees were really nice as I literally sobbed?"
negative,"@united @danahajek : she means to say there has been so many complaints today (this week, this month) that she can't respond b/c she's alone"
positive,@united They held the plane! Made it!!
positive,"@united ok, have sent u info via DM. I appreciate your help and consideration. 😊"
negative,@united flight 1136 from Chicago to Houston over 2 hours and no pretzels or peanuts?! Seriously about passed out.
positive,@united nice and early back home! http://t.co/geG4nghmIE
positive,@united I hope so too :)
negative,@united - after having to now TAG MY OWN bags at the airport I was hoping they would actually arrive WITH me - here's hoping they arrive
positive,@united I'll make sure he's done that. Thanks for the help. This is a huge race for him and just trying to make sure it goes smoothly. Peace
negative,@united so much for being here to help. Very disappointed in your customer service.
neutral,"@united If you'd love to see more girls be inspired about becoming pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
neutral,.@united I took a screenshot and emailed it to myself. Let's DM and figure this out.
negative,@united She 👏 won't 👏 be 👏 at 👏 my 👏 wedding 👏. This is an irreplaceable milestone. There's no reFlight Booking Problems. How can we be repaid for this?
negative,@united Brothers luggage was lost on Copa Airlines Flight 635. He's competing Sunday for the 2015 Panamerican Cross Country Cup. Please help
positive,"@United, will you fill it? Yes they will. Thanks! #BringYourOwn, @kleankanteen http://t.co/daaa0rqBXW"
negative,@united On last flight of the day no less. I am now driving 4 hours to Aspen thru a snowstorm Thx to your teams lack of customer empathy
negative,@United Brothers baggage was lost on route to 2015 Panamerican Cross Country Cup Championship in Columbia. His race is Sunday. Please help.
negative,@united that would have been nice earlier  today. Too Late Flight now. I hope.
negative,@united waiting 12 mins and counting to get through to Global Services....something going on?
negative,@united no still trying to get home.
negative,@united That is not what your reservations desk just told me.  They said there were plenty of seats
